ok,category,item_name,display_id,ticket_id,ticket_url,group_assigned,group_id,group_name,error
yes,CWT support,Hotel Content Services (HCS) or Rate Checker Requests,1552,3265965,https://amexgbt.freshservice.com/a/tickets/3265965,no,,,
yes,CWT support,HRO Setup,1387,3265964,https://amexgbt.freshservice.com/a/tickets/3265964,yes,17000393479,CWT HRO Setups,
yes,CWT support,HP Support Repair Request,1400,3265875,https://amexgbt.freshservice.com/a/tickets/3265875,yes,17000393228,CWT FTS ENG AMERICAS,
yes,CWT support,Lakehouse Data Inquiry,1450,3265966,https://amexgbt.freshservice.com/a/tickets/3265966,no,,,
yes,CWT support,Jira Access Request Form - Create / Modify / Remove User,1531,3265876,https://amexgbt.freshservice.com/a/tickets/3265876,yes,17000393476,CWT GLOBAL PRODUCT DELIVERY PDe,
yes,CWT support,Manual Certificate Discovery Request,1448,3265967,https://amexgbt.freshservice.com/a/tickets/3265967,no,,,
yes,CWT support,Matrix AIR Supplier Setup Request,1453,3265968,https://amexgbt.freshservice.com/a/tickets/3265968,no,,,
yes,CWT support,Lakehouse User Access Request,1543,3265877,https://amexgbt.freshservice.com/a/tickets/3265877,no,,,
yes,CWT support,MDF Access,1467,3265969,https://amexgbt.freshservice.com/a/tickets/3265969,no,,,
yes,CWT support,MDF & CIP Technical Support Request,1402,3265878,https://amexgbt.freshservice.com/a/tickets/3265878,yes,17000393231,CWT MDF Support,
yes,CWT support,MFA Reset Request,1404,3265970,https://amexgbt.freshservice.com/a/tickets/3265970,no,,,
yes,CWT support,Messaging Tracking Request,1449,3265879,https://amexgbt.freshservice.com/a/tickets/3265879,no,,,
yes,CWT support,Mobile Phone Request,1468,3265973,https://amexgbt.freshservice.com/a/tickets/3265973,no,,,
yes,CWT support,Microsoft Teams Access Request,1459,3265971,https://amexgbt.freshservice.com/a/tickets/3265971,yes,17000393503,CWT Collaboration,
yes,CWT support,Modify Secure Transfer Server Access,1452,3265974,https://amexgbt.freshservice.com/a/tickets/3265974,no,,,
yes,CWT support,MS Visio License Request,1471,3265880,https://amexgbt.freshservice.com/a/tickets/3265880,no,,,
yes,CWT support,MyARC Portal Access Request,1454,3265975,https://amexgbt.freshservice.com/a/tickets/3265975,no,,,
yes,CWT support,MyCWT Portal,1492,3265881,https://amexgbt.freshservice.com/a/tickets/3265881,no,,,
yes,CWT support,Network General Request,1386,3265882,https://amexgbt.freshservice.com/a/tickets/3265882,yes,17000392767,CWT Network Support,
yes,CWT support,NORAM Client Finance Setup/Maintenance Request,1526,3265976,https://amexgbt.freshservice.com/a/tickets/3265976,yes,17000393498,CWT Client Finance Setup,
yes,CWT support,NORAM Matrix Tax Code Request,1557,3265977,https://amexgbt.freshservice.com/a/tickets/3265977,yes,17000393230,CWT Matrix Support,
yes,CWT support,Oracle Cloud ERP Functional Support Request,1391,3265978,https://amexgbt.freshservice.com/a/tickets/3265978,yes,17000393501,CWT Cloud ERP Functional Support,
yes,CWT support,NORAM Matrix User Request Form,1535,3265883,https://amexgbt.freshservice.com/a/tickets/3265883,no,,,
no,CWT support,Physical Access Request,1470,,,no,,,"POST /api/v2/service_catalog/items/1470/place_request failed 400: {""description"":""Validation failed"",""errors"":[{""field"":""other_data_center_325251"",""message"":""Unexpected/invalid field in request"",""code"":""invalid_field""}]}"
yes,CWT support,Portrait Reporting Request,1385,3265979,https://amexgbt.freshservice.com/a/tickets/3265979,yes,17000393233,CWT Oracle Comm DBA,
yes,CWT support,Portrait Web Service Credential Support Request,1464,3265884,https://amexgbt.freshservice.com/a/tickets/3265884,no,,,
yes,CWT support,Power Base Request,1542,3265885,https://amexgbt.freshservice.com/a/tickets/3265885,yes,17000392774,CWT DDB GLOBAL SUPPORT,
yes,CWT support,Power Library Request,1544,3265886,https://amexgbt.freshservice.com/a/tickets/3265886,yes,17000393279,CWT POWER LIBRARY SUPPORT,
yes,CWT support,Request a Business Application,1556,3265887,https://amexgbt.freshservice.com/a/tickets/3265887,no,,,
yes,CWT support,RoomIt Operations - Client Content Request Form,1476,3265888,https://amexgbt.freshservice.com/a/tickets/3265888,yes,17000393237,CWT RoomIt Operations,
yes,CWT support,Rubrik General Request,1396,3265980,https://amexgbt.freshservice.com/a/tickets/3265980,yes,17000392772,CWT Storage,
yes,CWT support,Security Contact Initiation Request,1536,3265889,https://amexgbt.freshservice.com/a/tickets/3265889,no,,,
yes,CWT support,Security Tools Lifecycle Management,1553,3265890,https://amexgbt.freshservice.com/a/tickets/3265890,no,,,
yes,CWT support,Server Automation Request,1529,3265981,https://amexgbt.freshservice.com/a/tickets/3265981,yes,17000393502,CWT Cloud Operations,
